FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
110729;0000;;110,704;;
110730;0000;;214,021;;
110731;0000;;135,275;;
110801;0000;;49,1166;;
110802;0000;;69,3417;;
110803;0000;;144,479;;
110804;0000;;35,7333;;
110805;0000;;28,5667;;
110806;0000;;94,1261;;
110807;0000;;113,112;;
110808;0000;;24,3917;;
110809;0000;;54,6739;;
110810;0000;;27,9952;;
110811;0000;;39,8869;;
110812;0000;;45,4166;;
110813;0000;;100,508;;
110814;0000;;128,988;;
110815;0000;;52,4435;;
110816;0000;;26,7875;;
110817;0000;;49,2625;;
110818;0000;;164,887;;
110819;0000;;215,412;;
110820;0000;;121,325;;
110821;0000;;175,554;;
110822;0000;;85,0541;;
110823;0000;;76,2999;;
110824;0000;;97,0416;;
110825;0000;;70,7999;;
110826;0000;;26,7875;;
110827;0000;;39,5261;;
110828;0000;;19,3708;;
110829;0000;;44,2708;;
110830;0000;;96,5375;;
110831;0000;;98,359;;
110901;0000;;42,9;;
110902;0000;;35,9833;;
110903;0000;;43,3916;;
110904;0000;;35,325;;
110905;0000;;54,9291;;
110906;0000;;96,7416;;
110907;0000;;72,1499;;
110908;0000;;35,7999;;
110909;0000;;34,0041;;
110910;0000;;41,0333;;
110911;0000;;35,3875;;
110912;0000;;56,4833;;
110913;0000;;122,579;;
110914;0000;;109,365;;
110915;0000;;53,0042;;
110916;0000;;75,0958;;
110917;0000;;99,8707;;
110918;0000;;42,6917;;
110919;0000;;43,7125;;
110920;0000;;28,7375;;
110921;0000;;33,9791;;
110922;0000;;47,0333;;
110923;0000;;72,8347;;
110924;0000;;59,9869;;
110925;0000;;78,25;;
110926;0000;;80,1;;
110927;0000;;45,8083;;
110928;0000;;27,1;;
110929;0000;;28,5826;;
110930;0000;;39,45;;
111001;0000;;48,25;;
111002;0000;;39,8348;;
111003;0000;;35,4083;;
111004;0000;;53,3909;;
111005;0000;;37,3458;;
111006;0000;;23,5773;;
111007;0000;;34,687;;
111008;0000;;34,9435;;
111009;0000;;45,5782;;
111010;0000;;37,3;;
111011;0000;;41,45;;
111012;0000;;31,1909;;
111013;0000;;36,0136;;
111014;0000;;31,375;;
111015;0000;;33,5826;;
111016;0000;;32,3125;;
111017;0000;;42,4125;;
111018;0000;;32,55;;
111019;0000;;43,6619;;
111020;0000;;42,925;;
111021;0000;;36,2;;
111022;0000;;50,2636;;
111023;0000;;48,1434;;
111024;0000;;;;
111025;0000;;23,2333;;
111026;0000;;21,6905;;
111027;0000;;15,7667;;
111028;0000;;15,155;;
111029;0000;;11,9826;;
111030;0000;;15,8458;;
111031;0000;;30,3;;
111101;0000;;10,8333;;
111102;0000;;14,2956;;
111103;0000;;15,0875;;
111104;0000;;11,1545;;
111105;0000;;12,5454;;
111106;0000;;12,9783;;
